id,deal_type,title
d9496bc865c3488cbe26f253f33e2f95,دوره,پک جامع اتوماسيون
5d833988ab324798a116e5e8a58d5a33,تجهیزات,نو
2afc986a37754c8b862a347d9bf6c51a,دوره,دوره S7-300 و HMI کلاسیک
19a94a1ef0cf4bbbb67dfefbb7b10816,دوره ,دوره S7-1200، سنسور و ET200SP
1354f48a645140cdbaebd6dec835bcb7,دوره,دوره نقشه خوانی و تجهیزات تابلو
312acd55dfb542a0ac0a8ddc52df97cf,دوره,دوره HMI و WinCC تیا پورتال
d00e27f3436a47bbbcd43f296dba8f5f,دوره,دوره AI و پردازش تصویر
f02e48471d5543b2bde4d26b4867d178,کتاب,کتاب آموزش تیا پورتال و HMI
